,Acc,Transform Type,Model,Structured,Mu
0,0.78075,Geometric,GCN,False,0.0
1,0.947125,Geometric,GCN,False,0.05263157894736842
2,0.9903749999999999,Geometric,GCN,False,0.10526315789473684
3,0.9974999999999999,Geometric,GCN,False,0.15789473684210525
4,0.999,Geometric,GCN,False,0.21052631578947367
5,0.9995,Geometric,GCN,False,0.2631578947368421
6,0.99975,Geometric,GCN,False,0.3157894736842105
7,0.999625,Geometric,GCN,False,0.3684210526315789
8,0.99975,Geometric,GCN,False,0.42105263157894735
9,0.9996250000000002,Geometric,GCN,False,0.47368421052631576
10,0.9995,Geometric,GCN,False,0.5263157894736842
11,1.0,Geometric,GCN,False,0.5789473684210527
12,0.999625,Geometric,GCN,False,0.631578947368421
13,1.0,Geometric,GCN,False,0.6842105263157894
14,0.99975,Geometric,GCN,False,0.7368421052631579
15,1.0,Geometric,GCN,False,0.7894736842105263
16,1.0,Geometric,GCN,False,0.8421052631578947
17,0.999875,Geometric,GCN,False,0.894736842105263
18,1.0,Geometric,GCN,False,0.9473684210526315
19,0.9998750000000001,Geometric,GCN,False,1.0
0,0.7147500000000001,Geometric,GCN,True,0.0
1,0.7230000000000001,Geometric,GCN,True,0.05263157894736842
2,0.755375,Geometric,GCN,True,0.10526315789473684
3,0.7925,Geometric,GCN,True,0.15789473684210525
4,0.819125,Geometric,GCN,True,0.21052631578947367
5,0.8035,Geometric,GCN,True,0.2631578947368421
6,0.8435,Geometric,GCN,True,0.3157894736842105
7,0.8393749999999999,Geometric,GCN,True,0.3684210526315789
8,0.86425,Geometric,GCN,True,0.42105263157894735
9,0.88275,Geometric,GCN,True,0.47368421052631576
10,0.871875,Geometric,GCN,True,0.5263157894736842
11,0.8952499999999999,Geometric,GCN,True,0.5789473684210527
12,0.9019999999999999,Geometric,GCN,True,0.631578947368421
13,0.8953750000000001,Geometric,GCN,True,0.6842105263157894
14,0.9022499999999999,Geometric,GCN,True,0.7368421052631579
15,0.8821249999999999,Geometric,GCN,True,0.7894736842105263
16,0.8953749999999999,Geometric,GCN,True,0.8421052631578947
17,0.8912500000000001,Geometric,GCN,True,0.894736842105263
18,0.9025000000000001,Geometric,GCN,True,0.9473684210526315
19,0.9019999999999999,Geometric,GCN,True,1.0
0,0.78075,Geometric,GCN,False,0.0
1,0.947125,Geometric,GCN,False,0.05263157894736842
2,0.9903749999999999,Geometric,GCN,False,0.10526315789473684
3,0.9974999999999999,Geometric,GCN,False,0.15789473684210525
4,0.999,Geometric,GCN,False,0.21052631578947367
5,0.9995,Geometric,GCN,False,0.2631578947368421
6,0.99975,Geometric,GCN,False,0.3157894736842105
7,0.999625,Geometric,GCN,False,0.3684210526315789
8,0.99975,Geometric,GCN,False,0.42105263157894735
9,0.9996250000000002,Geometric,GCN,False,0.47368421052631576
10,0.9995,Geometric,GCN,False,0.5263157894736842
11,1.0,Geometric,GCN,False,0.5789473684210527
12,0.999625,Geometric,GCN,False,0.631578947368421
13,1.0,Geometric,GCN,False,0.6842105263157894
14,0.99975,Geometric,GCN,False,0.7368421052631579
15,1.0,Geometric,GCN,False,0.7894736842105263
16,1.0,Geometric,GCN,False,0.8421052631578947
17,0.999875,Geometric,GCN,False,0.894736842105263
18,1.0,Geometric,GCN,False,0.9473684210526315
19,0.9998750000000001,Geometric,GCN,False,1.0
0,0.7147500000000001,Geometric,GCN,True,0.0
1,0.7230000000000001,Geometric,GCN,True,0.05263157894736842
2,0.755375,Geometric,GCN,True,0.10526315789473684
3,0.7925,Geometric,GCN,True,0.15789473684210525
4,0.819125,Geometric,GCN,True,0.21052631578947367
5,0.8035,Geometric,GCN,True,0.2631578947368421
6,0.8435,Geometric,GCN,True,0.3157894736842105
7,0.8393749999999999,Geometric,GCN,True,0.3684210526315789
8,0.86425,Geometric,GCN,True,0.42105263157894735
9,0.88275,Geometric,GCN,True,0.47368421052631576
10,0.871875,Geometric,GCN,True,0.5263157894736842
11,0.8952499999999999,Geometric,GCN,True,0.5789473684210527
12,0.9019999999999999,Geometric,GCN,True,0.631578947368421
13,0.8953750000000001,Geometric,GCN,True,0.6842105263157894
